Symbol	Name	Gene Family	Type	RNA-Seq Correlation	RNA-Seq Correlation Self-Rank
SYK	spleen associated tyrosine kinase	SH2 domain containing	landmark		
MYCBP	MYC binding protein		landmark		
ME2	malic enzyme 2		landmark		
SYPL1	synaptophysin like 1		landmark		
PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha	Protein phosphatase 2 regulatory subunits	landmark		
PPP2R5E	protein phosphatase 2 regulatory subunit B'epsilon	Protein phosphatase 2 regulatory subunits	landmark		
MEF2C	myocyte enhancer factor 2C	Myocyte enhancer factor 2 proteins, MADS box family	landmark		
MAP3K4	mitogen-activated protein kinase kinase kinase 4	Mitogen-activated protein kinase kinase kinases	landmark		
PRCP	prolylcarboxypeptidase	Minor histocompatibility antigens, Carboxypeptidases	landmark		
TARBP1	TAR (HIV-1) RNA binding protein 1	SPOUT methyltranferase domain containing	landmark		
MEST	mesoderm specific transcript		landmark		
HN1L	hematological and neurological expressed 1 like		landmark		
PRKACA	protein kinase cAMP-activated catalytic subunit alpha		landmark		
PRKCD	protein kinase C delta	C2 domain containing protein kinases	landmark		
PRKCH	protein kinase C eta	C2 domain containing protein kinases	landmark		
SCAND1	SCAN domain containing 1	SCAN domain containing	landmark		
CD320	CD320 molecule	CD molecules	landmark		
PRKCQ	protein kinase C theta	C2 domain containing protein kinases	landmark		
MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)		landmark		
NUSAP1	nucleolar and spindle associated protein 1		landmark		
PHGDH	phosphoglycerate dehydrogenase		landmark		
TBP	TATA-box binding protein	General transcription factors	landmark		
TBX2	T-box 2	T-boxes	landmark		
TCEA2	transcription elongation factor A2		landmark		
TBXA2R	thromboxane A2 receptor	Prostaglandin (prostanoid) receptors	landmark		
MAP2K5	mitogen-activated protein kinase kinase 5	Mitogen-activated protein kinase kinases	landmark		
MAPK9	mitogen-activated protein kinase 9	Mitogen-activated protein kinases	landmark		
MAPK13	mitogen-activated protein kinase 13	Mitogen-activated protein kinases	landmark		
VPS72	vacuolar protein sorting 72 homolog	SRCAP complex	landmark		
PRKX	protein kinase, X-linked		landmark		
PROS1	protein S (alpha)	Gla domain containing	landmark		
LGMN	legumain		landmark		
FOXO4	forkhead box O4	Forkhead boxes	landmark		
MMP1	matrix metallopeptidase 1	Endogenous ligands, Matrix metallopeptidases	landmark		
MMP2	matrix metallopeptidase 2	Matrix metallopeptidases	landmark		
DYNLT3	dynein light chain Tctex-type 3	Dyneins, cytoplasmic	landmark		
MNAT1	MNAT1, CDK activating kinase assembly factor	Ring finger proteins, Nucleotide excision repair	landmark		
HTRA1	HtrA serine peptidase 1	Proteases, serine, PDZ domain containing	landmark		
TCTA	T-cell leukemia translocation altered		landmark		
SNX7	sorting nexin 7	Sorting nexins, PX-BAR domain containing	landmark		
ATP6V1D	ATPase H+ transporting V1 subunit D	V-type ATPases	landmark		
ZNF589	zinc finger protein 589	Zinc fingers C2H2-type	landmark		
PSMB8	proteasome subunit beta 8	Proteasome	landmark		
HADH	hydroxyacyl-CoA dehydrogenase		landmark		
HSD17B10	hydroxysteroid 17-beta dehydrogenase 10	X-linked mental retardation, Short chain dehydrogenase/reductase superfamily	landmark		
PSMB10	proteasome subunit beta 10	Proteasome	landmark		
HDAC2	histone deacetylase 2	Histone deacetylases, class I, EMSY complex, NuRD complex, SIN3 histone deacetylase complex	landmark		
HIF1A	hypoxia inducible factor 1 alpha subunit	Basic helix-loop-helix proteins	landmark		
HK1	hexokinase 1		landmark		
UBE3B	ubiquitin protein ligase E3B		landmark		
BZW2	basic leucine zipper and W2 domains 2		landmark		
NGRN	neugrin, neurite outgrowth associated		landmark		
PSMD2	proteasome 26S subunit, non-ATPase 2	Proteasome	landmark		
PSMD4	proteasome 26S subunit, non-ATPase 4	Proteasome	landmark		
PSMD9	proteasome 26S subunit, non-ATPase 9	Proteasome, PDZ domain containing	landmark		
PSMD10	proteasome 26S subunit, non-ATPase 10	Ankyrin repeat domain containing, Proteasome	landmark		
PSME1	proteasome activator subunit 1	Proteasome	landmark		
PSME2	proteasome activator subunit 2	Proteasome	landmark		
PTGS2	prostaglandin-endoperoxide synthase 2		landmark		
PTK2	protein tyrosine kinase 2	Protein phosphatase 1 regulatory subunits, FERM domain containing	landmark		
PTPN1	protein tyrosine phosphatase, non-receptor type 1	Protein tyrosine phosphatases, non-receptor type	landmark		
HLA-DMA	major histocompatibility complex, class II, DM alpha	Histocompatibility complex, C1-set domain containing	landmark		
PTPN12	protein tyrosine phosphatase, non-receptor type 12	Protein tyrosine phosphatases, non-receptor type	landmark		
HLA-DRA	major histocompatibility complex, class II, DR alpha	Histocompatibility complex, C1-set domain containing	landmark		
PTPN6	protein tyrosine phosphatase, non-receptor type 6	SH2 domain containing, Protein tyrosine phosphatases, non-receptor type	landmark		
PTPRF	protein tyrosine phosphatase, receptor type F	Fibronectin type III domain containing, I-set domain containing, Protein tyrosine phosphatases, receptor type	landmark		
PTPRK	protein tyrosine phosphatase, receptor type K	Fibronectin type III domain containing, Immunoglobulin like domain containing, Protein tyrosine phosphatases, receptor type	landmark		
HACD3	3-hydroxyacyl-CoA dehydratase 3		landmark		
PTPRC	protein tyrosine phosphatase, receptor type C	CD molecules, Fibronectin type III domain containing, Protein tyrosine phosphatases, receptor type	landmark		
MSRA	methionine sulfoxide reductase A		landmark		
HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase		landmark		
HMOX1	heme oxygenase 1		landmark		
HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1		landmark		
PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2		landmark		
ACBD3	acyl-CoA binding domain containing 3	A-kinase anchoring proteins	landmark		
UBE2J1	ubiquitin conjugating enzyme E2 J1	Ubiquitin conjugating enzymes E2	landmark		
EVL	Enah/Vasp-like	ENAH/VASPs	landmark		
CERK	ceramide kinase		landmark		
PXMP2	peroxisomal membrane protein 2		landmark		
PXN	paxillin	LIM domain containing	landmark		
PYCR1	pyrroline-5-carboxylate reductase 1		landmark		
PYGL	glycogen phosphorylase L	Glycogen phosphorylases	landmark		
RAB27A	RAB27A, member RAS oncogene family	RAB, member RAS oncogene GTPases	landmark		
HOXA10	homeobox A10	HOXL subclass homeoboxes	landmark		
HOXA5	homeobox A5	HOXL subclass homeoboxes	landmark		
RAB4A	RAB4A, member RAS oncogene family	RAB, member RAS oncogene GTPases	landmark		
RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	Rho family GTPases, Endogenous ligands	landmark		
RAD9A	RAD9 checkpoint clamp component A	Checkpoint clamp complex	landmark		
MOK	MOK protein kinase		landmark		
RAD51C	RAD51 paralog C	Fanconi anemia complementation groups	landmark		
RALA	RAS like proto-oncogene A	RAS type GTPase family	landmark		
RALB	RAS like proto-oncogene B	RAS type GTPase family	landmark		
MUC1	mucin 1, cell surface associated	CD molecules, Mucins	landmark		
HPRT1	hypoxanthine phosphoribosyltransferase 1		landmark		
HES1	hes family bHLH transcription factor 1	Basic helix-loop-helix proteins	landmark		
CHIC2	cysteine rich hydrophobic domain 2		landmark		
UFM1	ubiquitin fold modifier 1		landmark		
TIMM9	translocase of inner mitochondrial membrane 9	TIM22 complex	landmark		
LSR	lipolysis stimulated lipoprotein receptor	Immunoglobulin like domain containing	landmark		
RAP1GAP	RAP1 GTPase activating protein		landmark		
RALGDS	ral guanine nucleotide dissociation stimulator		landmark		
KDM5A	lysine demethylase 5A	PHD finger proteins, AT-rich interaction domain containing, Lysine demethylases, EMSY complex	landmark		
RASA1	RAS p21 protein activator 1	Pleckstrin homology domain containing, SH2 domain containing, C2 and RasGAP domain containing	landmark		
RB1	RB transcriptional corepressor 1	Endogenous ligands	landmark		
MYC	v-myc avian myelocytomatosis viral oncogene homolog	Basic helix-loop-helix proteins	landmark		
MYBL2	MYB proto-oncogene like 2	Myb/SANT domain containing	landmark		
GADD45B	growth arrest and DNA damage inducible beta		landmark		
RELB	RELB proto-oncogene, NF-kB subunit	NF-kappa B complex subunits	landmark		
HSPA1A	heat shock protein family A (Hsp70) member 1A	Heat shock 70kDa proteins	landmark		
DNAJB2	DnaJ heat shock protein family (Hsp40) member B2	DNAJ (HSP40) heat shock proteins	landmark		
HSPA4	heat shock protein family A (Hsp70) member 4	Heat shock 70kDa proteins	landmark		
MYLK	myosin light chain kinase	Fibronectin type III domain containing, I-set domain containing	landmark		
MYO10	myosin X	Pleckstrin homology domain containing, Myosins, class X, FERM domain containing	landmark		
RFC2	replication factor C subunit 2	AAA ATPases	landmark		
HSPB1	heat shock protein family B (small) member 1	Small heat shock proteins	landmark		
HSPA8	heat shock protein family A (Hsp70) member 8	Heat shock 70kDa proteins, NineTeen complex	landmark		
RFX5	regulatory factor X5	Regulatory factor X family	landmark		
HSPD1	heat shock protein family D (Hsp60) member 1	Chaperonins	landmark		
RFC5	replication factor C subunit 5	AAA ATPases	landmark		
RFNG	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	Beta 3-glycosyltransferases	landmark		
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	DNAJ (HSP40) heat shock proteins	landmark		
RGS2	regulator of G-protein signaling 2	Endogenous ligands, Regulators of G-protein signaling	landmark		
CTTN	cortactin		landmark		
NCK1	NCK adaptor protein 1	SH2 domain containing	landmark		
EPHA3	EPH receptor A3	Fibronectin type III domain containing, Sterile alpha motif domain containing, EPH receptors	landmark		
EPB41L2	erythrocyte membrane protein band 4.1 like 2	Erythrocyte membrane protein band 4.1, FERM domain containing	landmark		
ICAM3	intercellular adhesion molecule 3	CD molecules, Immunoglobulin like domain containing	landmark		
ICAM1	intercellular adhesion molecule 1	CD molecules, Endogenous ligands, Immunoglobulin like domain containing	landmark		
EPHB2	EPH receptor B2	Fibronectin type III domain containing, Sterile alpha motif domain containing, EPH receptors	landmark		
ID2	inhibitor of DNA binding 2, HLH protein	Basic helix-loop-helix proteins	landmark		
ERBB3	erb-b2 receptor tyrosine kinase 3	Erb-b2 receptor tyrosine kinases	landmark		
ERBB2	erb-b2 receptor tyrosine kinase 2	CD molecules, Minor histocompatibility antigens, Erb-b2 receptor tyrosine kinases	landmark		
NR2F6	nuclear receptor subfamily 2 group F member 6	Nuclear hormone receptors	landmark		
EPRS	glutamyl-prolyl-tRNA synthetase	Aminoacyl tRNA synthetases, Class I, Aminoacyl tRNA synthetases, Class II	landmark		
NT5DC2	5'-nucleotidase domain containing 2		landmark		
DHRS7	dehydrogenase/reductase 7	Short chain dehydrogenase/reductase superfamily	landmark		
IDE	insulin degrading enzyme		landmark		
ETFB	electron transfer flavoprotein beta subunit		landmark		
NFE2L2	nuclear factor, erythroid 2 like 2	Basic leucine zipper proteins	landmark		
NFIL3	nuclear factor, interleukin 3 regulated	Basic leucine zipper proteins	landmark		
ETV1	ETS variant 1	ETS transcription factor family	landmark		
ETS1	ETS proto-oncogene 1, transcription factor	ETS transcription factor family	landmark		
NFATC3	nuclear factor of activated T-cells 3	Nuclear factors of activated T-cells	landmark		
NFATC4	nuclear factor of activated T-cells 4	Nuclear factors of activated T-cells	landmark		
NFKB2	nuclear factor kappa B subunit 2	Ankyrin repeat domain containing, NF-kappa B complex subunits	landmark		
NFKBIA	NFKB inhibitor alpha	Ankyrin repeat domain containing	landmark		
NFKBIB	NFKB inhibitor beta	Ankyrin repeat domain containing	landmark		
NFKBIE	NFKB inhibitor epsilon	Ankyrin repeat domain containing	landmark		
EXT1	exostosin glycosyltransferase 1	Exostosin glycosyltransferase family	landmark		
IFNAR1	interferon alpha and beta receptor subunit 1	Interferon receptors	landmark		
IGFBP3	insulin like growth factor binding protein 3	Insulin like growth factor binding proteins	landmark		
IGF2R	insulin like growth factor 2 receptor	CD molecules, MRH domain containing 	landmark		
IGF1R	insulin like growth factor 1 receptor	Receptor Tyrosine Kinases, CD molecules, Fibronectin type III domain containing	landmark		
EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	Lysine methyltransferases, Myb/SANT domain containing, Polycomb repressive complex 2, SET domain containing	landmark		
PTK2B	protein tyrosine kinase 2 beta	Minor histocompatibility antigens, FERM domain containing	landmark		
FAH	fumarylacetoacetate hydrolase		landmark		
FAT1	FAT atypical cadherin 1	Cadherin related	landmark		
ZNF318	zinc finger protein 318	Zinc fingers C2H2-type	landmark		
CAB39	calcium binding protein 39		landmark		
NIT1	nitrilase 1		landmark		
ARID4B	AT-rich interaction domain 4B	AT-rich interaction domain containing	landmark		
IGHMBP2	immunoglobulin mu binding protein 2	Zinc fingers AN1-type, UPF1 like RNA helicases	landmark		
NMT1	N-myristoyltransferase 1		landmark		
CNOT4	CCR4-NOT transcription complex subunit 4	RNA binding motif containing, CCR4-NOT transcription complex	landmark		
NOS3	nitric oxide synthase 3		landmark		
PNP	purine nucleoside phosphorylase		landmark		
NOTCH1	notch 1	Ankyrin repeat domain containing	landmark		
NPC1	NPC intracellular cholesterol transporter 1		landmark		
IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta		landmark		
SLC11A2	solute carrier family 11 member 2	Solute carriers	landmark		
NRAS	neuroblastoma RAS viral oncogene homolog	RAS type GTPase family	landmark		
FDFT1	farnesyl-diphosphate farnesyltransferase 1		landmark		
IL1B	interleukin 1 beta	Endogenous ligands, Interleukins	landmark		
IL4R	interleukin 4 receptor	CD molecules, Interleukin receptors	landmark		
FGFR4	fibroblast growth factor receptor 4	Receptor Tyrosine Kinases, CD molecules, I-set domain containing	landmark		
FGFR2	fibroblast growth factor receptor 2	Receptor Tyrosine Kinases, CD molecules, I-set domain containing	landmark		
FHL2	four and a half LIM domains 2	LIM domain containing	landmark		
IL13RA1	interleukin 13 receptor subunit alpha 1	CD molecules, Interleukin receptors	landmark		
FKBP4	FK506 binding protein 4	Tetratricopeptide repeat domain containing, FKBP prolyl isomerases	landmark		
ABHD4	abhydrolase domain containing 4	Abhydrolase domain containing	landmark		
HIST1H2BK	histone cluster 1 H2B family member k	Histones	landmark		
NUCB2	nucleobindin 2	EF-hand domain containing	landmark		
NUP88	nucleoporin 88	Nucleoporins	landmark		
NVL	nuclear VCP-like	AAA ATPases	landmark		
ILK	integrin linked kinase	Ankyrin repeat domain containing	landmark		
INPP1	inositol polyphosphate-1-phosphatase	Phosphoinositide phosphatases	landmark		
